City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,oktyabrskiy,54.4815,53.471,-2.2,95,93,2.58,RU,1667886716
232,mizque,-17.941,-65.3402,14.65,68,64,0.9,BO,1667886716
233,vestmannaeyjar,63.4427,-20.2734,7.45,82,100,7.2,IS,1667886717
234,nantucket,41.2835,-70.0995,14.08,58,0,11.33,US,1667886600
235,agadir,30.4202,-9.5982,15.25,34,100,1.59,MA,1667886717
236,los llanos de aridane,28.6585,-17.9182,17.86,54,0,3.6,ES,1667886717
237,murchison,-41.8,172.3333,17.98,65,27,1.55,NZ,1667886718
238,ribeira grande,38.5167,-28.7,17.1,74,100,0.89,PT,1667886718
239,formosa,-26.1775,-58.1781,18.99,68,0,2.57,AR,1667886661
240,saint george,37.1041,-113.5841,16.81,41,100,4.63,US,1667886719
241,rehoboth,-23.3167,17.0833,17.51,59,14,1.38,NA,1667886719
242,tuatapere,-46.1333,167.6833,17.89,59,48,2.08,NZ,1667886719
243,mackenzie,55.2999,-123.1698,-15.88,47,100,4.12,CA,1667886720
244,imbituba,-28.24,-48.6703,17.7,91,95,4.15,BR,1667886720
245,yuty,-26.6,-56.25,13.39,78,19,2.09,PY,1667886721
246,xining,36.6167,101.7667,12.06,34,0,1.43,CN,1667886721
247,chuy,-33.6971,-53.4616,13.72,89,7,3.2,UY,1667886721
248,el ermitano,20.2072,-97.5114,21.48,92,12,0.96,MX,1667886722
249,asarganj,25.15,86.6833,28.81,41,5,1.2,IN,1667886722
250,orcopampa,-15.2661,-72.3417,4.76,35,3,1.02,PE,1667886722
251,hay river,60.8156,-115.7999,-22.01,84,40,1.54,CA,1667886723
252,khatanga,71.9667,102.5,-13.66,96,100,2.03,RU,1667886723
253,poum,-20.2333,164.0167,25.41,82,99,8.93,NC,1667886724
254,avarua,-21.2078,-159.775,23.03,73,75,3.09,CK,1667886724
255,beloha,-25.1667,45.05,29.0,49,3,0.34,MG,1667886724
256,krasnoselkup,65.7,82.4667,-5.37,96,100,5.69,RU,1667886725
257,klaksvik,62.2266,-6.589,10.51,97,100,17.23,FO,1667886725
258,kisangani,0.5167,25.2,21.64,98,100,1.28,CD,1667886725
259,port moresby,-9.4431,147.1797,30.68,66,40,2.57,PG,1667886726
260,dubbo,-32.25,148.6167,22.07,56,40,6.17,AU,1667886579
261,kupang,-10.1667,123.5833,30.32,79,75,3.6,ID,1667886726
262,khani,41.9563,42.9566,7.76,59,100,2.19,GE,1667886727
263,conceicao da barra,-18.5933,-39.7322,19.73,81,97,1.52,BR,1667886727
264,hami,42.8,93.45,13.22,20,100,0.87,CN,1667886727
265,praya,14.9215,-23.5087,22.3,83,0,2.57,CV,1667886635
266,santa barbara,34.7333,-120.0343,8.79,95,100,2.06,US,1667886329
267,cururupu,-1.8283,-44.8683,23.96,91,92,1.94,BR,1667886569
268,aksarka,66.5606,67.7975,-8.17,98,94,2.03,RU,1667886728
269,vila franca do campo,37.7167,-25.4333,16.23,79,100,2.86,PT,1667886729
270,nadym,65.5333,72.5167,-4.72,95,100,4.64,RU,1667886607
271,santa isabel do rio negro,-0.4139,-65.0192,22.68,96,99,0.57,BR,1667886729
272,yazoo city,32.8551,-90.4056,20.95,92,11,2.43,US,1667886729
273,fare,-16.7,-151.0167,25.6,77,13,3.98,PF,1667886730
274,dunedin,-45.8742,170.5036,15.79,72,60,4.74,NZ,1667886730
275,saldanha,-33.0117,17.9442,16.68,76,88,2.96,ZA,1667886730
276,riyadh,24.6877,46.7219,21.08,16,0,8.09,SA,1667886713
277,katobu,-4.9408,122.5276,28.95,72,96,1.69,ID,1667886731
278,dudinka,69.4058,86.1778,-28.63,100,70,0.81,RU,1667886731
279,chara,56.9064,118.2631,-5.78,87,100,0.68,RU,1667886732
280,yar-sale,66.8333,70.8333,-5.91,97,100,1.78,RU,1667886732
281,belomorsk,64.5232,34.7668,3.27,99,100,2.93,RU,1667886732
282,inhambane,-23.865,35.3833,27.55,70,38,5.08,MZ,1667886733
283,kaeo,-35.1,173.7833,17.4,87,98,4.85,NZ,1667886733
284,evensk,61.95,159.2333,-6.88,80,100,2.76,RU,1667886734
285,broome,42.2506,-75.833,6.68,72,0,3.6,US,1667886734
286,petatlan,17.5167,-101.2667,25.13,90,84,0.7,MX,1667886735
287,teya,60.3778,92.6267,-4.89,83,94,3.45,RU,1667886735
288,marzuq,14.4,46.4667,24.43,40,1,1.21,YE,1667886735
